Date,DSR_Constrained,DSR_Unconstrained,EqualWeight
2022-01-14,0.00226699506816997,0.002266995127020741,0.0018375768377831836
2022-01-21,-0.07548190618830117,-0.07548190510960862,-0.07600482262555586
2022-01-28,0.02792003097223938,0.02792003136304433,0.023687929832251653
2022-02-04,0.033333153891950004,0.03333315353169297,-0.007260969162261044
2022-02-11,-0.03864007848857035,-0.03864007601638009,-0.04409348152956005
2022-02-18,-0.018373012575601068,-0.018420918358306504,-0.02495786726086402
2022-02-25,0.013682204803201621,0.01482798454910661,0.015528531789182898
2022-03-04,-0.02688557759976598,-0.02588930055700578,-0.03135821427382779
2022-03-11,-0.028096241847090926,-0.025594799719017236,-0.03242368331652978
2022-03-18,0.0707225550753215,0.06694161336088622,0.0880977311490323
2022-03-25,0.038660246465406035,0.04101936097420511,0.03269247949634724
2022-04-01,-0.0017236224949658625,-0.0029683262418075396,0.0024715223633902106
2022-04-08,-0.03988919714694838,-0.03938978486793354,-0.0360899429865128
2022-04-14,-0.03864771048275589,-0.03840540487562283,-0.041555962586906636
2022-04-22,-0.04161504639770786,-0.03875166104853256,-0.054180474559337055
2022-04-29,-0.039325209390792815,-0.03602326255689514,-0.021905357057614094
2022-05-06,-0.010541604185762226,-0.008034662265802073,-0.011533592146144689
2022-05-13,-0.031626576271806206,-0.037882062838651365,-0.030279914972864086
2022-05-20,-0.05277434678123846,-0.05567001021388518,-0.04604187502439194
2022-05-27,0.062365155470996664,0.06327036789935425,0.05600031560279861
2022-06-03,0.004876021207644779,0.0017089334921933652,0.0038360564515129703
2022-06-10,-0.06042341573644394,-0.05422589861964944,-0.06660621402929734
2022-06-17,-0.037347669321919255,-0.03762619866449379,-0.039257078403382106
2022-06-24,0.085756620063028,0.08702620894899482,0.07929705081227234
2022-07-01,-0.049984817509494815,-0.04986917921928502,-0.049352005416799294
2022-07-08,0.06709357577694032,0.07308414569603916,0.06185169780339583
2022-07-15,-0.02339738772649162,-0.025363886404448865,-0.027176858662867676
2022-07-22,0.018865263157691707,0.005615901572842974,0.022357397306888682
2022-07-29,0.07194168505832169,0.07036933738022122,0.05035866561533631
2022-08-05,0.020943242185065613,0.01844428636314621,0.02604410272317481
2022-08-12,0.035222403744328716,0.036141207385619545,0.04159561036613124
2022-08-19,-0.02483548433645529,-0.02357359766223832,-0.03296814621474431
2022-08-26,-0.05392711811537524,-0.0537335000358391,-0.05169770308678989
2022-09-02,-0.03478693416609958,-0.03506405641887156,-0.029659813653872824
2022-09-09,0.026578205366365293,0.026297028303108316,0.03378320516250466
2022-09-16,-0.06684313354653298,-0.06578064582774945,-0.07945001787805261
2022-09-23,-0.0291579401599862,-0.026492770316301373,-0.03779277865659658
2022-09-30,-0.04092289937317604,-0.050076509143975545,-0.03475424156245843
2022-10-07,0.015308331436027334,0.01496070954872164,0.009693892424535333
2022-10-14,-0.026362780581328113,-0.025071734189155315,-0.034938768976456425
2022-10-21,0.06545904774124064,0.06441711435859454,0.06244805775907181
2022-10-28,-0.03686953119663471,-0.0378167333209013,-0.076885237111749
2022-11-04,-0.09861032117617048,-0.09899946544112026,-0.09503726707870808
2022-11-11,0.1077866307140974,0.10718925874641494,0.13259831195338
2022-11-18,-0.009427589210685783,-0.0021548183917626806,-0.014979946437433278
2022-11-25,-0.0034121929902719123,-0.005965935529053001,-0.0016849607768796293
2022-12-02,0.018963301276534356,0.016930300946514043,0.03464073049300698
2022-12-09,-0.0532631301380885,-0.05403649937292343,-0.05312023776520525
2022-12-16,-0.02679312744912811,-0.03017397456568427,-0.013592004816608938
2022-12-23,-0.019943340604828597,-0.020005660112193957,-0.019240878106119408
2022-12-30,-0.008544245323483385,-0.008677522999614662,-0.003314178376567445
